Gene stable ID	RefSeq ncRNA ID
ENSMUSG00000099963	
ENSMUSG00000099963	
ENSMUSG00000099963	
ENSMUSG00000101857	
ENSMUSG00000101836	
ENSMUSG00000102008	
ENSMUSG00000100869	
ENSMUSG00000101277	
ENSMUSG00000099371	
ENSMUSG00000100359	
ENSMUSG00000099495	
ENSMUSG00000101747	
ENSMUSG00000100263	
ENSMUSG00000101575	
ENSMUSG00000101715	
ENSMUSG00000100785	
ENSMUSG00000101425	
ENSMUSG00000101425	
ENSMUSG00000100698	
ENSMUSG00000099822	
ENSMUSG00000099822	
ENSMUSG00000099822	
ENSMUSG00000099547	
ENSMUSG00000101781	
ENSMUSG00000101271	
ENSMUSG00000099504	
ENSMUSG00000099782	
ENSMUSG00000101377	
ENSMUSG00000101038	
ENSMUSG00000101709	
ENSMUSG00000100604	
ENSMUSG00000099554	
ENSMUSG00000099554	
ENSMUSG00000099814	
ENSMUSG00000099814	
ENSMUSG00000099814	
ENSMUSG00000101757	
ENSMUSG00000100179	
ENSMUSG00000101815	
ENSMUSG00000101538	
ENSMUSG00000100251	
ENSMUSG00000100983	
ENSMUSG00000101820	
ENSMUSG00000100283	
ENSMUSG00000099832	
ENSMUSG00000101246	
ENSMUSG00000101382	
ENSMUSG00000099967	
ENSMUSG00000101161	
ENSMUSG00000100705	
ENSMUSG00000101157	
ENSMUSG00000099712	
ENSMUSG00000099586	
ENSMUSG00000100066	
ENSMUSG00000101879	
ENSMUSG00000101879	
ENSMUSG00000099412	
ENSMUSG00000101831	
ENSMUSG00000100428	
ENSMUSG00000099601	
ENSMUSG00000101704	
ENSMUSG00000101349	
ENSMUSG00000100140	
ENSMUSG00000100140	
ENSMUSG00000101710	
ENSMUSG00000094575	
ENSMUSG00000101146	
ENSMUSG00000099499	
ENSMUSG00000101213	
ENSMUSG00000100952	
ENSMUSG00000100952	
ENSMUSG00000099730	
ENSMUSG00000099896	
ENSMUSG00000099896	
ENSMUSG00000101873	
ENSMUSG00000101980	
ENSMUSG00000100203	
ENSMUSG00000100669	
ENSMUSG00000099460	
ENSMUSG00000100260	
ENSMUSG00000100675	
ENSMUSG00000099807	
ENSMUSG00000099807	
ENSMUSG00000101435	
ENSMUSG00000100544	
ENSMUSG00000100544	
ENSMUSG00000100883	
ENSMUSG00000100902	
ENSMUSG00000100892	
ENSMUSG00000100673	
ENSMUSG00000101050	
ENSMUSG00000101050	
ENSMUSG00000102025	
ENSMUSG00000099793	
ENSMUSG00000100699	
ENSMUSG00000096438	
ENSMUSG00000099351	
ENSMUSG00000099489	
ENSMUSG00000100845	
ENSMUSG00000096275	
ENSMUSG00000101771	
ENSMUSG00000101771	
ENSMUSG00000100719	
ENSMUSG00000101740	
ENSMUSG00000101740	
ENSMUSG00000100050	
ENSMUSG00000101292	
ENSMUSG00000100588	
ENSMUSG00000100588	
ENSMUSG00000102050	
ENSMUSG00000101238	
ENSMUSG00000100406	
ENSMUSG00000099526	
ENSMUSG00000099526	
ENSMUSG00000101040	
ENSMUSG00000101040	
ENSMUSG00000100560	
ENSMUSG00000101272	
ENSMUSG00000101478	
ENSMUSG00000101633	
ENSMUSG00000101283	
ENSMUSG00000101727	
ENSMUSG00000100907	
ENSMUSG00000101960	
ENSMUSG00000101960	
ENSMUSG00000095179	
ENSMUSG00000101917	
ENSMUSG00000101205	
ENSMUSG00000100526	
ENSMUSG00000101785	
ENSMUSG00000100149	
ENSMUSG00000101602	
ENSMUSG00000099953	
ENSMUSG00000102032	
ENSMUSG00000100823	
ENSMUSG00000099416	
ENSMUSG00000099416	
ENSMUSG00000099606	
ENSMUSG00000100063	
ENSMUSG00000100722	
ENSMUSG00000100722	
ENSMUSG00000096898	
ENSMUSG00000096898	
ENSMUSG00000101017	
ENSMUSG00000100366	
ENSMUSG00000100888	
ENSMUSG00000100433	
ENSMUSG00000102111	
ENSMUSG00000101060	
ENSMUSG00000101060	
ENSMUSG00000099497	
ENSMUSG00000099479	
ENSMUSG00000101115	
ENSMUSG00000100849	
ENSMUSG00000100849	
ENSMUSG00000101194	
ENSMUSG00000099742	
ENSMUSG00000100999	
ENSMUSG00000101562	
ENSMUSG00000101321	
ENSMUSG00000100328	
ENSMUSG00000100328	
ENSMUSG00000101098	
ENSMUSG00000094739	
ENSMUSG00000094739	
ENSMUSG00000102071	
ENSMUSG00000100741	
ENSMUSG00000101804	
ENSMUSG00000101804	
ENSMUSG00000099849	
ENSMUSG00000099849	
ENSMUSG00000100822	
ENSMUSG00000100822	
ENSMUSG00000101471	
ENSMUSG00000101455	
ENSMUSG00000099700	
ENSMUSG00000101811	
ENSMUSG00000099833	
ENSMUSG00000101259	
ENSMUSG00000101247	
ENSMUSG00000100610	
ENSMUSG00000099408	
ENSMUSG00000099408	
ENSMUSG00000101197	
ENSMUSG00000101207	
ENSMUSG00000101207	
ENSMUSG00000102016	
ENSMUSG00000102016	
ENSMUSG00000099542	
ENSMUSG00000101340	
ENSMUSG00000100107	
ENSMUSG00000099972	
ENSMUSG00000100051	
ENSMUSG00000100051	
ENSMUSG00000101733	
ENSMUSG00000099977	
ENSMUSG00000099977	
ENSMUSG00000099415	
ENSMUSG00000100953	
ENSMUSG00000100953	
ENSMUSG00000096332	
ENSMUSG00000099734	
ENSMUSG00000100693	
ENSMUSG00000100693	
ENSMUSG00000100723	
ENSMUSG00000101981	
ENSMUSG00000100148	
ENSMUSG00000100756	
ENSMUSG00000099805	
ENSMUSG00000101070	
ENSMUSG00000100286	
ENSMUSG00000101833	
ENSMUSG00000102081	
ENSMUSG00000102081	
ENSMUSG00000101688	
ENSMUSG00000099679	
ENSMUSG00000102031	
ENSMUSG00000102031	
ENSMUSG00000100408	
ENSMUSG00000100991	
ENSMUSG00000102116	
ENSMUSG00000101637	
ENSMUSG00000101649	
ENSMUSG00000101649	
ENSMUSG00000100245	
ENSMUSG00000095353	
ENSMUSG00000100469	
ENSMUSG00000101802	
ENSMUSG00000101802	
ENSMUSG00000100821	
ENSMUSG00000101058	
ENSMUSG00000099790	
ENSMUSG00000099790	
ENSMUSG00000100187	
ENSMUSG00000100187	
ENSMUSG00000101594	
ENSMUSG00000101962	
ENSMUSG00000101962	
ENSMUSG00000100978	
ENSMUSG00000100519	
ENSMUSG00000100598	
ENSMUSG00000100011	
ENSMUSG00000100011	
ENSMUSG00000100591	
ENSMUSG00000100879	
ENSMUSG00000100974	
ENSMUSG00000101675	
ENSMUSG00000101675	
ENSMUSG00000099480	
ENSMUSG00000099480	
ENSMUSG00000101914	
ENSMUSG00000099834	
ENSMUSG00000100499	
ENSMUSG00000100499	
ENSMUSG00000100298	
ENSMUSG00000100256	
ENSMUSG00000100256	
ENSMUSG00000101201	
ENSMUSG00000101003	
ENSMUSG00000101003	
ENSMUSG00000100438	
ENSMUSG00000100640	
ENSMUSG00000100628	
ENSMUSG00000100989	
ENSMUSG00000100268	
ENSMUSG00000100003	
ENSMUSG00000100003	
ENSMUSG00000101343	
ENSMUSG00000101907	
ENSMUSG00000099462	
ENSMUSG00000099462	
ENSMUSG00000100035	
ENSMUSG00000100035	
ENSMUSG00000101434	
ENSMUSG00000101072	
ENSMUSG00000100061	
ENSMUSG00000100994	
ENSMUSG00000100611	
ENSMUSG00000100861	
ENSMUSG00000100317	
ENSMUSG00000101138	
ENSMUSG00000101138	
ENSMUSG00000101329	
ENSMUSG00000100871	
ENSMUSG00000100871	
ENSMUSG00000100532	
ENSMUSG00000100532	
ENSMUSG00000100716	
ENSMUSG00000100716	
ENSMUSG00000099374	
ENSMUSG00000100325	
ENSMUSG00000100325	
ENSMUSG00000100882	
ENSMUSG00000100048	
ENSMUSG00000101772	
ENSMUSG00000099667	
ENSMUSG00000099789	
ENSMUSG00000099789	
ENSMUSG00000099593	
ENSMUSG00000099593	
ENSMUSG00000101109	
ENSMUSG00000101109	
ENSMUSG00000101582	
ENSMUSG00000101541	
ENSMUSG00000101541	
ENSMUSG00000101273	
ENSMUSG00000101508	
ENSMUSG00000101508	
ENSMUSG00000100339	
ENSMUSG00000099546	
ENSMUSG00000101884	
ENSMUSG00000100906	
ENSMUSG00000100852	
ENSMUSG00000100852	
ENSMUSG00000100092	
ENSMUSG00000100284	
ENSMUSG00000099532	
ENSMUSG00000099532	
ENSMUSG00002075613	
ENSMUSG00000118466	
ENSMUSG00000100986	
ENSMUSG00000102054	
ENSMUSG00000102054	
ENSMUSG00000101718	
ENSMUSG00002076259	
ENSMUSG00000101131	
ENSMUSG00000101131	
ENSMUSG00000099736	
ENSMUSG00000099339	
ENSMUSG00000101657	
ENSMUSG00000100740	
ENSMUSG00000099674	
ENSMUSG00000099674	
ENSMUSG00000100718	
ENSMUSG00000101069	
ENSMUSG00000101069	
ENSMUSG00000100023	
ENSMUSG00000100023	
ENSMUSG00000099915	
ENSMUSG00000100086	
ENSMUSG00000100531	
ENSMUSG00000100531	
ENSMUSG00000099483	
ENSMUSG00000101310	
ENSMUSG00000101742	
ENSMUSG00000100646	
ENSMUSG00000100024	
ENSMUSG00000099409	
ENSMUSG00000099522	
ENSMUSG00000100938	
ENSMUSG00000100938	
ENSMUSG00000101821	
ENSMUSG00000101950	
ENSMUSG00000099441	
ENSMUSG00000102079	
ENSMUSG00000100411	
ENSMUSG00000100449	
ENSMUSG00000100970	
ENSMUSG00000101990	
ENSMUSG00000099642	
ENSMUSG00000101354	
ENSMUSG00000101204	
ENSMUSG00000101204	
ENSMUSG00000101204	
ENSMUSG00000101835	
ENSMUSG00000102127	
ENSMUSG00000099362	
ENSMUSG00000099921	
ENSMUSG00000099921	
ENSMUSG00002076147	
ENSMUSG00000100581	
ENSMUSG00000095650	
ENSMUSG00000095650	
ENSMUSG00000099477	
ENSMUSG00000102092	
ENSMUSG00000101989	
ENSMUSG00000100288	
ENSMUSG00000099341	
ENSMUSG00000101282	
ENSMUSG00000101282	
ENSMUSG00002075299	
ENSMUSG00000101221	
ENSMUSG00000099992	
ENSMUSG00000101346	
ENSMUSG00000101230	
ENSMUSG00000102061	
ENSMUSG00000100541	
ENSMUSG00000101961	
ENSMUSG00000101961	
ENSMUSG00000099367	
ENSMUSG00000099666	
ENSMUSG00000099666	
ENSMUSG00000099666	
ENSMUSG00000100240	
ENSMUSG00000100331	
ENSMUSG00000101347	
ENSMUSG00000100390	
ENSMUSG00000099824	
ENSMUSG00000099824	
ENSMUSG00000101263	
ENSMUSG00002076549	
ENSMUSG00000099986	
ENSMUSG00000100116	
ENSMUSG00000100118	
ENSMUSG00000100118	
ENSMUSG00000099524	
ENSMUSG00000100854	
ENSMUSG00000101092	
ENSMUSG00000100817	
ENSMUSG00000102122	
ENSMUSG00000099513	
ENSMUSG00000101552	
ENSMUSG00000102110	
ENSMUSG00000102110	
ENSMUSG00000100973	
ENSMUSG00000100388	
ENSMUSG00000100388	
ENSMUSG00000100802	
ENSMUSG00000099588	
ENSMUSG00000101752	
ENSMUSG00000100028	
ENSMUSG00000100350	
ENSMUSG00000099867	
ENSMUSG00000101193	
ENSMUSG00000100887	
ENSMUSG00000100887	
ENSMUSG00000100655	
ENSMUSG00000101670	
ENSMUSG00000100773	
ENSMUSG00000100365	
ENSMUSG00000099985	
ENSMUSG00000099916	
ENSMUSG00000099916	
ENSMUSG00000099916	
ENSMUSG00000101631	
ENSMUSG00000099613	
ENSMUSG00000101557	
ENSMUSG00000101222	
ENSMUSG00000101902	
ENSMUSG00000102132	
ENSMUSG00000100787	
ENSMUSG00000100787	
ENSMUSG00000100787	
ENSMUSG00000100098	
ENSMUSG00000099709	
ENSMUSG00000101002	
ENSMUSG00000099856	
ENSMUSG00000101019	
ENSMUSG00000101241	
ENSMUSG00000101684	
ENSMUSG00000100695	
ENSMUSG00000100820	
ENSMUSG00000101866	
ENSMUSG00000101931	
ENSMUSG00000101931	
ENSMUSG00000100355	
ENSMUSG00000101646	
ENSMUSG00000100947	
ENSMUSG00000100461	
ENSMUSG00000100746	
ENSMUSG00000099675	
ENSMUSG00000101770	
ENSMUSG00000100248	
ENSMUSG00000100248	
ENSMUSG00000100248	
ENSMUSG00000101623	
ENSMUSG00000099643	
ENSMUSG00000099643	
ENSMUSG00000100996	
ENSMUSG00000099777	
ENSMUSG00000101515	
ENSMUSG00000100930	
ENSMUSG00000099559	
ENSMUSG00000099637	
ENSMUSG00000100440	
ENSMUSG00000100440	
ENSMUSG00000101494	
ENSMUSG00000099565	
ENSMUSG00000099649	
ENSMUSG00000100343	
ENSMUSG00000100391	
ENSMUSG00000101984	
ENSMUSG00000101984	
ENSMUSG00000099494	
ENSMUSG00000099494	
ENSMUSG00000099494	
ENSMUSG00000100637	
ENSMUSG00000102044	
ENSMUSG00000101850	
ENSMUSG00000099745	
ENSMUSG00000099436	
ENSMUSG00000101883	
ENSMUSG00000100067	
ENSMUSG00000100067	
ENSMUSG00000100818	
ENSMUSG00000099529	
ENSMUSG00000102022	
ENSMUSG00000102022	
ENSMUSG00000102022	
ENSMUSG00000101497	
ENSMUSG00000100870	
ENSMUSG00000101694	
ENSMUSG00000100492	
ENSMUSG00000100492	
ENSMUSG00000099725	
ENSMUSG00000100403	
ENSMUSG00000100853	
ENSMUSG00000099982	
ENSMUSG00000099982	
ENSMUSG00000100036	
ENSMUSG00000099506	
ENSMUSG00000101402	
ENSMUSG00000101402	
ENSMUSG00000100584	
ENSMUSG00000100584	
ENSMUSG00000100584	
ENSMUSG00000100574	
ENSMUSG00000100574	
ENSMUSG00000101987	
ENSMUSG00000100072	
ENSMUSG00000101570	
ENSMUSG00000101885	
ENSMUSG00000100095	
ENSMUSG00000101420	
ENSMUSG00000100270	
ENSMUSG00000102011	
ENSMUSG00000100246	
ENSMUSG00000099654	
ENSMUSG00000099654	
ENSMUSG00000099654	
ENSMUSG00000100834	
ENSMUSG00000100533	
ENSMUSG00000100533	
ENSMUSG00000094729	
ENSMUSG00000094729	
ENSMUSG00000100332	
ENSMUSG00000100678	
ENSMUSG00000100507	
ENSMUSG00000101547	
ENSMUSG00000100401	
ENSMUSG00000100401	
ENSMUSG00000100401	
ENSMUSG00000101992	
ENSMUSG00000101367	
ENSMUSG00000101665	
ENSMUSG00000100778	
ENSMUSG00000100835	
ENSMUSG00000101446	
ENSMUSG00000100045	
ENSMUSG00000101018	
ENSMUSG00000101178	
ENSMUSG00000101566	
ENSMUSG00000101190	
ENSMUSG00000101190	
ENSMUSG00000101190	
ENSMUSG00000099942	
ENSMUSG00000100864	
ENSMUSG00000101368	
ENSMUSG00000099682	
ENSMUSG00000100227	
ENSMUSG00000100227	
ENSMUSG00000100227	
ENSMUSG00000099456	
ENSMUSG00000099456	
ENSMUSG00000099456	
ENSMUSG00000099594	
ENSMUSG00000101267	
ENSMUSG00000101783	
ENSMUSG00000099466	
ENSMUSG00000100089	
ENSMUSG00000101542	
ENSMUSG00000101542	
ENSMUSG00000101542	
ENSMUSG00000096518	
ENSMUSG00000099509	
ENSMUSG00000100424	
ENSMUSG00002076770	
ENSMUSG00000101490	
ENSMUSG00000099993	
ENSMUSG00000101534	
ENSMUSG00000101364	
ENSMUSG00000101422	
ENSMUSG00000101422	
ENSMUSG00000101422	
ENSMUSG00000100184	
ENSMUSG00000101967	
ENSMUSG00000101967	
ENSMUSG00000101967	
ENSMUSG00000102035	
ENSMUSG00000101228	
ENSMUSG00000101723	
ENSMUSG00000102056	
ENSMUSG00000100052	
ENSMUSG00000099442	
ENSMUSG00000101148	
ENSMUSG00000101580	
ENSMUSG00000100054	
ENSMUSG00000100054	
ENSMUSG00000100054	
ENSMUSG00000100207	
ENSMUSG00000100142	
ENSMUSG00000100889	
ENSMUSG00000099607	
ENSMUSG00000100242	
ENSMUSG00000100167	
ENSMUSG00000100167	
ENSMUSG00000100167	
ENSMUSG00000100144	
ENSMUSG00000100144	
ENSMUSG00000100144	
ENSMUSG00000102103	
ENSMUSG00000099527	
ENSMUSG00000101045	
ENSMUSG00000099920	
ENSMUSG00000101021	
ENSMUSG00000099485	
ENSMUSG00000099548	
ENSMUSG00000096875	
ENSMUSG00000101891	
ENSMUSG00000101891	
ENSMUSG00000100238	
ENSMUSG00000101103	
ENSMUSG00000099866	
ENSMUSG00000099866	
ENSMUSG00000101910	
ENSMUSG00000101910	
ENSMUSG00000100579	
ENSMUSG00000100579	
ENSMUSG00000094217	
ENSMUSG00000100057	
ENSMUSG00000100057	
ENSMUSG00000101592	
ENSMUSG00000100609	
ENSMUSG00000100609	
ENSMUSG00000101993	
ENSMUSG00000099935	
ENSMUSG00000100012	
ENSMUSG00000100012	
ENSMUSG00000099836	
ENSMUSG00000099836	
ENSMUSG00000100575	NR_164192
ENSMUSG00000101676	
ENSMUSG00000101510	
ENSMUSG00000100404	
ENSMUSG00000099865	
ENSMUSG00000100474	
ENSMUSG00000100757	
ENSMUSG00000100606	
ENSMUSG00000101170	
ENSMUSG00000099355	
ENSMUSG00000099355	
ENSMUSG00000099739	
ENSMUSG00000100874	
ENSMUSG00000101689	
ENSMUSG00000099626	
ENSMUSG00000102108	
ENSMUSG00000093950	
ENSMUSG00000101323	
ENSMUSG00000101466	
ENSMUSG00000101614	
ENSMUSG00000101614	
ENSMUSG00000100307	
ENSMUSG00000101882	
ENSMUSG00000099585	
ENSMUSG00000101182	
ENSMUSG00000101668	
ENSMUSG00000101668	
ENSMUSG00000101998	
ENSMUSG00000099975	
ENSMUSG00000099783	
ENSMUSG00000101390	
ENSMUSG00000099699	
ENSMUSG00000099699	
ENSMUSG00000100856	
ENSMUSG00000101544	
ENSMUSG00000100159	
ENSMUSG00000101864	
ENSMUSG00000100712	
ENSMUSG00000101119	
ENSMUSG00000099520	
ENSMUSG00000099520	
ENSMUSG00000100520	
ENSMUSG00000102107	
ENSMUSG00000101057	
ENSMUSG00000101125	
ENSMUSG00000101125	
ENSMUSG00000101887	
ENSMUSG00000100521	
ENSMUSG00000101790	
ENSMUSG00000100452	
ENSMUSG00000100452	
ENSMUSG00000101403	
ENSMUSG00000101830	
ENSMUSG00000099350	
ENSMUSG00000100329	
ENSMUSG00000099940	
ENSMUSG00000099940	
ENSMUSG00000101766	
ENSMUSG00000101530	
ENSMUSG00000100676	
ENSMUSG00000101539	
ENSMUSG00000101539	
ENSMUSG00000100353	
ENSMUSG00000101022	
ENSMUSG00000100077	
ENSMUSG00000101569	
ENSMUSG00000101184	
ENSMUSG00000099386	
ENSMUSG00000095103	
ENSMUSG00000095785	
ENSMUSG00000095785	
ENSMUSG00000099487	
ENSMUSG00000101507	
ENSMUSG00000101507	
ENSMUSG00000093993	
ENSMUSG00000093993	
ENSMUSG00000093993	
ENSMUSG00000100956	
ENSMUSG00000100942	
ENSMUSG00000100333	
ENSMUSG00000100126	
ENSMUSG00000100126	
ENSMUSG00000101679	
ENSMUSG00000099434	
ENSMUSG00000100993	
ENSMUSG00000099778	
ENSMUSG00000101512	
ENSMUSG00000101512	
ENSMUSG00000100136	
ENSMUSG00000101256	
ENSMUSG00000101256	
ENSMUSG00000101758	
ENSMUSG00000099395	
ENSMUSG00000100982	
ENSMUSG00000099368	
ENSMUSG00000101010	
ENSMUSG00000100447	
ENSMUSG00000100607	
ENSMUSG00000099829	
ENSMUSG00000101278	
ENSMUSG00000101278	
ENSMUSG00000101442	
ENSMUSG00000096666	
ENSMUSG00000096666	
ENSMUSG00000100373	
ENSMUSG00000100373	
ENSMUSG00000102077	
ENSMUSG00000099852	
ENSMUSG00000095302	
ENSMUSG00000095302	
ENSMUSG00000100569	
ENSMUSG00000100809	
ENSMUSG00000099962	
ENSMUSG00000100547	
ENSMUSG00000099755	
ENSMUSG00000099457	
ENSMUSG00000101313	
ENSMUSG00000101313	
ENSMUSG00000100478	
ENSMUSG00000101083	
ENSMUSG00000102118	
ENSMUSG00000096881	
ENSMUSG00000099716	
ENSMUSG00000101794	
ENSMUSG00000101794	
ENSMUSG00000101529	
ENSMUSG00000099335	
ENSMUSG00000100897	
ENSMUSG00000101139	
ENSMUSG00000101825	
ENSMUSG00000099976	
ENSMUSG00000099501	
ENSMUSG00000099501	
ENSMUSG00000099991	
ENSMUSG00000101358	
ENSMUSG00000101816	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000101861	
ENSMUSG00000101861	
ENSMUSG00000101598	
ENSMUSG00000102230	
ENSMUSG00000104345	
ENSMUSG00000104345	
ENSMUSG00000104345	
ENSMUSG00000102772	
ENSMUSG00000102772	
ENSMUSG00000102772	
ENSMUSG00000103425	
ENSMUSG00000102486	
ENSMUSG00000103250	
ENSMUSG00000103077	
ENSMUSG00000103077	
ENSMUSG00000103787	
ENSMUSG00000103987	
ENSMUSG00000103063	
ENSMUSG00000102957	
ENSMUSG00000103269	
ENSMUSG00000103954	
ENSMUSG00000103954	
ENSMUSG00000103954	
ENSMUSG00000103894	
ENSMUSG00000103795	
ENSMUSG00000103919	
ENSMUSG00000103812	
ENSMUSG00000103812	
ENSMUSG00000103812	
ENSMUSG00000104259	
ENSMUSG00000102487	
ENSMUSG00000102847	
ENSMUSG00000103773	
ENSMUSG00000102347	
ENSMUSG00000104480	
ENSMUSG00000104062	
ENSMUSG00000104062	
ENSMUSG00000104062	
ENSMUSG00000103231	
ENSMUSG00000102318	
ENSMUSG00000103074	
ENSMUSG00000102965	
ENSMUSG00000104289	
ENSMUSG00000104289	
ENSMUSG00000104289	
ENSMUSG00000102730	
ENSMUSG00000102529	
ENSMUSG00000103589	
ENSMUSG00000103589	
ENSMUSG00000103589	
ENSMUSG00000102396	
ENSMUSG00000104247	
ENSMUSG00000104255	
ENSMUSG00000102598	
ENSMUSG00000102402	
ENSMUSG00000104228	
ENSMUSG00000103029	
ENSMUSG00000103029	
ENSMUSG00000103029	
